id,code,office
1,40101,Ahero
2,30101,Ainabkoi
3,40139,Akala
4,50244,Amagoro
5,20424,Amalo (Formerly Oloomirani)
6,50403,Amukura
7,40309,Asumbi
8,00204,Athi River
9,40122,Awasi
10,20113,Bahati
11,80101,Bamburi
12,50316,Banja
13,20601,Baragoi
14,30306,Baraton
15,10302,Baricho 
16,01101,Bissel
17,50206,Bokoli
18,20400,Bomet
19,20101,Bondeni
20,40601,Bondo
21,50137,Booker
22,40620,Boro
23,50245,Brigadier
24,50105,Bukura
25,50109,Bulimbo
26,50404,Bumala
27,50200,Bungoma
28,70104,Bura Tana
29,30102,Burnt Forest
30,00515,Buruburu
31,50400,Busia
32,50101,Butere
33,50405,Butula
34,50210,Buyofu
35,50302,Chamakanga
36,80102,Changamwe
37,50317,Chavakali
38,30706,Chebiemit
39,20215,Cheborge
40,20401,Chebunyo
41,20222,Chemamul
42,20407,Chemaner
43,40116,Chemelil
44,30605,Chepareria
45,30133,Chepkoilel
46,30129,Chepkorio
47,50201,Cheptais
48,20217,Chesinendet
49,60410,Chiakanyinga
50,60409,Chiakariga
51,60401,Chogoria
52,60400,Chuka
53,90147,Chumvi
54,80314,Chumvini
55,50202,Chwele
56,00200,City Square
57,80103,Coast Gen. Hospital
58,70103,Dadaab
59,40112,Dago
60,00516,Dandora
61,40117,Daraja Mbili
62,90145,Daystar
63,80401,Diani Beach
64,80104,Docks
65,10401,Doldol
66,01027,Donyosabuk
67,00610,Eastleigh
68,20115,Egerton
69,90139,Ekalakala
70,20102,Elburgon
71,20103,Eldama Ravine
72,30100,Eldoret
73,70301,Elwak
74,90121,Emali
75,00521,Embakasi
76,60100,Embu
77,50314,Emuhaya
78,10107,Endarasha
79,30201,Endebess
80,00500,Enterprise Road
81,40208,Etago
82,80501,Faza
83,20209,Fort Ternan
84,50406,Funyula
85,00100,G.P.O Nairobi
86,10210,Gacharage-Ini
87,60209,Gaitu
88,10109,Gakere Road
89,10111,Gakindu
90,10239,Gakungu
91,50318,Gambogi
92,80205,Ganze
93,60301,Garba Tulla
94,70100,Garissa
95,80201,Garsen
96,00240,Gathugu
97,10114,Gatitu
98,01028,Gatukuyu
99,01030,Gatundu
100,60404,Gatunga
101,01013,Gatura
102,80208,Gede
103,40503,Gesima
104,40201,Gesusu
105,10108,Giakanja
106,00601,Gigiri
107,10213,Gikoe
108,20116,Gilgil
109,50304,Gisambai
110,60212,Gitemene
111,60205,Githongo
112,00216,Githunguri
113,01003,Gituamba
